metascore,top_100_director,in_a_collection,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,other genre,production_cos,en,es,fr,it,de,other_spk_lng,profit,budget,revenue,popularity,runtime,age,vote_count,vote_average,views
46.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,7.415144,102.0,25.366666666666788,472.0,7.2,10.789473684210526
66.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,37853753.0,63000000.0,100853753.0,63.869599,139.0,20.866666666666788,9678.0,8.3,80.70175438596492
94.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,205928762.0,8000000.0,213928762.0,140.950236,154.0,25.950000000000045,8670.0,8.3,158.56140350877192
74.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,115332697.0,32000000.0,147332697.0,9.796962,93.0,9.450000000000045,2752.0,7.1,11.543859649122806
72.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,206799884.0,21000000.0,227799884.0,10.234919,105.0,27.200000000000045,630.0,6.5,50.578947368421055
78.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,58650000.0,950000.0,59600000.0,19.931606,110.0,57.86666666666679,953.0,6.9,12.701754385964913
40.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,107841558.0,70000000.0,177841558.0,10.876463,105.0,20.950000000000045,282.0,6.2,13.912280701754385
84.0,0.0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,424409218.0,60000000.0,484409218.0,17.987728,90.0,19.283333333333303,4183.0,7.3,53.40350877192982
51.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,63107642.0,65000000.0,128107642.0,8.579638,98.0,12.116666666666788,1084.0,6.5,4.894736842105263
69.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,346884651.0,23000000.0,369884651.0,11.688958,119.0,22.116666666666788,1616.0,6.5,33.3859649122807
